task_id,dataset_name,regime,tipo,model,split,auc_ovo,acc,g_mean,ce,time_seconds,error
363614,anneal,pequeno,multiclasse,mambular,test,,,,,360.25,"CUDA out of memory. Tried to allocate 608.00 MiB. GPU 0 has a total capacity of 11.49 GiB of which 188.56 MiB is free. Process 25190 has 23.59 MiB memory in use. Process 25342 has 15.09 MiB memory in use. Process 27293 has 66.85 MiB memory in use. Including non-PyTorch memory, this process has 10.02 GiB memory in use. Of the allocated memory 9.76 GiB is allocated by PyTorch, and 54.88 MiB is reserved by PyTorch but unallocated. If reserved but unallocated memory is large try setting PYTORCH_CUDA_ALLOC_CONF=expandable_segments:True to avoid fragmentation.  See documentation for Memory Management  (https://pytorch.org/docs/stable/notes/cuda.html#environment-variables)"
363614,anneal,pequeno,multiclasse,autogluon_default,test,0.9998786407766992,0.9962962962962963,0.8705505632961241,0.060326906654245,134.07,
363614,anneal,pequeno,multiclasse,autogluon_default,train,0.99999252839211,0.998407643312102,0.9995812393840896,0.0552211264800238,134.07,
363614,anneal,pequeno,multiclasse,mambular,test,,,,,388.42,"CUDA out of memory. Tried to allocate 608.00 MiB. GPU 0 has a total capacity of 11.49 GiB of which 653.75 MiB is free. Process 25190 has 26.84 MiB memory in use. Process 25342 has 15.09 MiB memory in use. Process 27293 has 72.72 MiB memory in use. Process 138091 has 47.59 MiB memory in use. Process 4610 has 14.59 MiB memory in use. Process 93573 has 212.16 MiB memory in use. Including non-PyTorch memory, this process has 8.79 GiB memory in use. Process 184804 has 47.59 MiB memory in use. Of the allocated memory 8.55 GiB is allocated by PyTorch, and 26.88 MiB is reserved by PyTorch but unallocated. If reserved but unallocated memory is large try setting PYTORCH_CUDA_ALLOC_CONF=expandable_segments:True to avoid fragmentation.  See documentation for Memory Management  (https://pytorch.org/docs/stable/notes/cuda.html#environment-variables)"
363614,anneal,pequeno,multiclasse,autogluon_extreme,test,1.0,1.0,1.0,0.0221405338746853,7096.25,
363614,anneal,pequeno,multiclasse,autogluon_extreme,train,1.0,1.0,1.0,0.0156429058405095,7096.25,
363626,credit-g,medio,binario,mambular,test,0.7655026455026455,0.79,0.7134386511780175,0.5813160271866777,1406.77,
363626,credit-g,medio,binario,mambular,train,0.8989018464528669,0.8271428571428572,0.7802219912852567,0.359260563044434,1406.77,
363626,credit-g,medio,binario,lightgbm,test,0.7748677248677249,0.75,0.5931710140017395,0.511948116627837,4.48,
363626,credit-g,medio,binario,lightgbm,train,0.9286394557823128,0.85,0.7664617125801602,0.3698556940294423,4.48,
